id,title,description_book,description_source_type,description_source_url
2658,"Assassination Classroom, Vol. 20","Assassination Classroom (Japanese: 暗殺教室, Hepburn: Ansatsu Kyōshitsu) is a Japanese manga series written and illustrated by Yusei Matsui. The series follows the daily life of an extremely powerful octopus-like being working as a junior high homeroom teacher, and his students dedicated to the task of assassinating him to prevent Earth from being destroyed. The students are considered ""misfits"" in their school and are taught in a separate building; the class he teaches is called 3-E. It was serialized in Shueisha's shōnen manga magazine Weekly Shōnen Jump  from July 2012 to March 2016, with its chapters collected in twenty-one tankōbon volumes.
In North America, the manga has been licensed for English language release by Viz Media. The anime series has been licensed by Crunchyroll, formerly known as Funimation. The series was obtained by Madman Entertainment for digital distribution in Australia and New Zealand. An original video animation (OVA) adaptation produced by Brain's Base was screened at the Jump Super Anime Tour from October to November 2013. This was followed by an anime television adaptation by Lerche, which aired on Fuji Television, BS Fuji and other stations from January...",wikipedia,https://en.wikipedia.org/wiki/Assassination_Classroom
1784,Critical Perspectives on Gender Identity,"What is gender? Is gender changeable? Does gender always match up with one's sexuality or outward appearance? These are questions at the forefront of contemporary debates for increased rights for trans men, trans women, and others who do not conform to our society's gender norms. Students will read the experiences of gender non-conforming individuals, as well as court decisions related to recent legal cases and media coverage, in order to better understand the challenges they face today.",google_books,http://books.google.nl/books?id=HARiDwAAQBAJ&dq=intitle:Critical+Perspectives+on+Gender+Identity+inauthor:Nicki+Peter+Petrikowski&hl=&source=gbs_api
1802,Gender Identity (Teen Mental Health),"What is gender? Is gender changeable? Does gender always match up with one's sexuality or outward appearance? These are questions at the forefront of contemporary debates for increased rights for trans men, trans women, and others who do not conform to our society's gender norms. Students will read the experiences of gender non-conforming individuals, as well as court decisions related to recent legal cases and media coverage, in order to better understand the challenges they face today.",google_books,http://books.google.nl/books?id=TgliDwAAQBAJ&dq=intitle:Gender+Identity+inauthor:Nicki+Peter+Petrikowski&hl=&source=gbs_api
1868,"Magical Boy, Vol 1","Though she is from a family of clairvoyants, Blue Sargent's only gift seems to be that she makes other people's talents stronger. When she meets Gansey, one of the boys from the expensive Aglionby Academy, she discovers that he has talents of his own--and that together their talents are a dangerous mix. Blue has a policy of staying away from Aglionby boys. Known as ""raven boys"", they can only mean trouble. For as long as she can remember, Blue has been warned that she will cause her true love to die. She never thought this would be a problem. But now, as her life becomes caught up in the strange and sinister world of the raven boys, she's not so sure anymore.",openlibrary,https://openlibrary.org/works/OL17557879W
10249,Raven Boys,"Though she is from a family of clairvoyants, Blue Sargent's only gift seems to be that she makes other people's talents stronger. When she meets Gansey, one of the boys from the expensive Aglionby Academy, she discovers that he has talents of his own--and that together their talents are a dangerous mix. Blue has a policy of staying away from Aglionby boys. Known as ""raven boys"", they can only mean trouble. For as long as she can remember, Blue has been warned that she will cause her true love to die. She never thought this would be a problem. But now, as her life becomes caught up in the strange and sinister world of the raven boys, she's not so sure anymore.",openlibrary,https://openlibrary.org/works/OL17557879W
1976,You're in the Wrong Bathroom!: And 20 Other Myths and Misconceptions About Transgender and Gender-Nonconforming People,"This “insightful and instructive primer” debunks the twenty-one most common myths and misconceptions about transgender issues—“buy this book and share it with [your] whole family” (Bust) From Laverne Cox and Caitlyn Jenner to Thomas Beatie (“the pregnant man”) and transgender youth, coverage of trans lives has been exploding—yet so much misinformation persists. Bringing together the medical, social, psychological, and political aspects of being trans in the United States today, “You’re in the Wrong Bathroom!” unpacks the twenty-one most common myths and misconceptions about transgender and gender-nonconforming people. Authors Laura Erickson-Schroth, MD, a psychiatrist, and Laura A. Jacobs, LCSW-R, a psychotherapist, address a range of fallacies: • Trans People Are “Trapped in the Wrong Body” • You’re Not Really Trans If You Haven’t Had “the Surgery” • Trans People Are a Danger to Others, Especially Children • Trans People Are Mentally Ill and Therapy Can Change Them • Trans People and Feminists Don’t Get Along",google_books,https://play.google.com/store/books/details?id=1IiIDAAAQBAJ&source=gbs_api
10266,"Trans Bodies, Trans Selves: A Resource By and for Transgender Communities","This “insightful and instructive primer” debunks the twenty-one most common myths and misconceptions about transgender issues—“buy this book and share it with [your] whole family” (Bust) From Laverne Cox and Caitlyn Jenner to Thomas Beatie (“the pregnant man”) and transgender youth, coverage of trans lives has been exploding—yet so much misinformation persists. Bringing together the medical, social, psychological, and political aspects of being trans in the United States today, “You’re in the Wrong Bathroom!” unpacks the twenty-one most common myths and misconceptions about transgender and gender-nonconforming people. Authors Laura Erickson-Schroth, MD, a psychiatrist, and Laura A. Jacobs, LCSW-R, a psychotherapist, address a range of fallacies: • Trans People Are “Trapped in the Wrong Body” • You’re Not Really Trans If You Haven’t Had “the Surgery” • Trans People Are a Danger to Others, Especially Children • Trans People Are Mentally Ill and Therapy Can Change Them • Trans People and Feminists Don’t Get Along",google_books,https://play.google.com/store/books/details?id=1IiIDAAAQBAJ&source=gbs_api
1986,"Soul Eater, Vol. 15","Soul Eater (Japanese: ソウルイーター, Hepburn: Sōru Ītā) is a Japanese manga series written and illustrated by Atsushi Ohkubo. Set at the ""Death Weapon Meister Academy"", the series revolves around three teams, each consisting of a weapon meister and at least one human that can transform into a weapon. Trying to make the latter a ""Death Scythe"" and thus fit for use by the academy's headmaster Shinigami, the personification of death, they must collect the souls of 99 evil humans and one witch, in that order; otherwise, they will have to start all over again.
The manga was preceded by three separate one-shots published by Square Enix in 2003; the first two published in two Gangan Powered special editions and the last one in Gangan Wing. Soul Eater was regularly serialized in Square Enix's Monthly Shōnen Gangan magazine from May 2004 to August 2013. Its chapters were collected in 25 tankōbon volumes. A 51-episode anime television series adaptation produced by Bones was broadcast on TV Tokyo from April 2008 to March 2009. The series has also spawned a drama CD, an art book, and three video games. A spin-off manga series, titled Soul Eater Not!, was serialized in Monthly Shōnen Gangan from January...",wikipedia,https://en.wikipedia.org/wiki/Soul_Eater
1987,"Soul Eater, Vol. 16","Soul Eater (Japanese: ソウルイーター, Hepburn: Sōru Ītā) is a Japanese manga series written and illustrated by Atsushi Ohkubo. Set at the ""Death Weapon Meister Academy"", the series revolves around three teams, each consisting of a weapon meister and at least one human that can transform into a weapon. Trying to make the latter a ""Death Scythe"" and thus fit for use by the academy's headmaster Shinigami, the personification of death, they must collect the souls of 99 evil humans and one witch, in that order; otherwise, they will have to start all over again.
The manga was preceded by three separate one-shots published by Square Enix in 2003; the first two published in two Gangan Powered special editions and the last one in Gangan Wing. Soul Eater was regularly serialized in Square Enix's Monthly Shōnen Gangan magazine from May 2004 to August 2013. Its chapters were collected in 25 tankōbon volumes. A 51-episode anime television series adaptation produced by Bones was broadcast on TV Tokyo from April 2008 to March 2009. The series has also spawned a drama CD, an art book, and three video games. A spin-off manga series, titled Soul Eater Not!, was serialized in Monthly Shōnen Gangan from January...",wikipedia,https://en.wikipedia.org/wiki/Soul_Eater
1988,"Soul Eater, Vol. 17","Soul Eater (Japanese: ソウルイーター, Hepburn: Sōru Ītā) is a Japanese manga series written and illustrated by Atsushi Ohkubo. Set at the ""Death Weapon Meister Academy"", the series revolves around three teams, each consisting of a weapon meister and at least one human that can transform into a weapon. Trying to make the latter a ""Death Scythe"" and thus fit for use by the academy's headmaster Shinigami, the personification of death, they must collect the souls of 99 evil humans and one witch, in that order; otherwise, they will have to start all over again.
The manga was preceded by three separate one-shots published by Square Enix in 2003; the first two published in two Gangan Powered special editions and the last one in Gangan Wing. Soul Eater was regularly serialized in Square Enix's Monthly Shōnen Gangan magazine from May 2004 to August 2013. Its chapters were collected in 25 tankōbon volumes. A 51-episode anime television series adaptation produced by Bones was broadcast on TV Tokyo from April 2008 to March 2009. The series has also spawned a drama CD, an art book, and three video games. A spin-off manga series, titled Soul Eater Not!, was serialized in Monthly Shōnen Gangan from January...",wikipedia,https://en.wikipedia.org/wiki/Soul_Eater
1990,"Soul Eater, Vol. 3","Soul Eater (Japanese: ソウルイーター, Hepburn: Sōru Ītā) is a Japanese manga series written and illustrated by Atsushi Ohkubo. Set at the ""Death Weapon Meister Academy"", the series revolves around three teams, each consisting of a weapon meister and at least one human that can transform into a weapon. Trying to make the latter a ""Death Scythe"" and thus fit for use by the academy's headmaster Shinigami, the personification of death, they must collect the souls of 99 evil humans and one witch, in that order; otherwise, they will have to start all over again.
The manga was preceded by three separate one-shots published by Square Enix in 2003; the first two published in two Gangan Powered special editions and the last one in Gangan Wing. Soul Eater was regularly serialized in Square Enix's Monthly Shōnen Gangan magazine from May 2004 to August 2013. Its chapters were collected in 25 tankōbon volumes. A 51-episode anime television series adaptation produced by Bones was broadcast on TV Tokyo from April 2008 to March 2009. The series has also spawned a drama CD, an art book, and three video games. A spin-off manga series, titled Soul Eater Not!, was serialized in Monthly Shōnen Gangan from January...",wikipedia,https://en.wikipedia.org/wiki/Soul_Eater
1994,"Soul Eater, Vol. 7","Soul Eater (Japanese: ソウルイーター, Hepburn: Sōru Ītā) is a Japanese manga series written and illustrated by Atsushi Ohkubo. Set at the ""Death Weapon Meister Academy"", the series revolves around three teams, each consisting of a weapon meister and at least one human that can transform into a weapon. Trying to make the latter a ""Death Scythe"" and thus fit for use by the academy's headmaster Shinigami, the personification of death, they must collect the souls of 99 evil humans and one witch, in that order; otherwise, they will have to start all over again.
The manga was preceded by three separate one-shots published by Square Enix in 2003; the first two published in two Gangan Powered special editions and the last one in Gangan Wing. Soul Eater was regularly serialized in Square Enix's Monthly Shōnen Gangan magazine from May 2004 to August 2013. Its chapters were collected in 25 tankōbon volumes. A 51-episode anime television series adaptation produced by Bones was broadcast on TV Tokyo from April 2008 to March 2009. The series has also spawned a drama CD, an art book, and three video games. A spin-off manga series, titled Soul Eater Not!, was serialized in Monthly Shōnen Gangan from January...",wikipedia,https://en.wikipedia.org/wiki/Soul_Eater
2359,Kin,"*Don Quijote de la Mancha* es una novela escrita por el español Miguel de Cervantes Saavedra. Publicada su primera parte con el título de *El ingenioso hidalgo don Quijote de la Mancha* a comienzos de 1605, es la obra más destacada de la literatura española y una de las principales de la literatura universal. En 1615 apareció su continuación con el título de *Segunda parte del ingenioso caballero don Quijote de la Mancha.* Es la primera obra genuinamente desmitificadora de la tradición caballeresca y cortés por su tratamiento burlesco. Representa la primera novela moderna y la primera novela polifónica; como tal, ejerció un enorme influjo en toda la narrativa europea. La novela ha sido calificada por numerosos autores de renombre como la «mejor novela de todos los tiempos» y la «obra más importante y fundamental de la literatura universal». Don Quijote es también uno de los libros más traducidos del mundo y una de las novelas más vendidas de todos los tiempos.


----------


*The Ingenious Gentleman Don Quixote of La Mancha* known simply as *Don Quixote* is a Spanish novel by Miguel de Cervantes, originally published in two parts, in 1605 and 1615 and considered a founding work of Western literature. It's often said to be the first modern novel. The novel has been labelled by many well-known authors as the ""best novel of all time"" and the ""best and most central work in world literature"". Don Quixote is also one of the most-translated books in the world and one of the best-selling novels of all time.",openlibrary,https://openlibrary.org/works/OL503666W
6693,De la France,"*Don Quijote de la Mancha* es una novela escrita por el español Miguel de Cervantes Saavedra. Publicada su primera parte con el título de *El ingenioso hidalgo don Quijote de la Mancha* a comienzos de 1605, es la obra más destacada de la literatura española y una de las principales de la literatura universal. En 1615 apareció su continuación con el título de *Segunda parte del ingenioso caballero don Quijote de la Mancha.* Es la primera obra genuinamente desmitificadora de la tradición caballeresca y cortés por su tratamiento burlesco. Representa la primera novela moderna y la primera novela polifónica; como tal, ejerció un enorme influjo en toda la narrativa europea. La novela ha sido calificada por numerosos autores de renombre como la «mejor novela de todos los tiempos» y la «obra más importante y fundamental de la literatura universal». Don Quijote es también uno de los libros más traducidos del mundo y una de las novelas más vendidas de todos los tiempos.


----------


*The Ingenious Gentleman Don Quixote of La Mancha* known simply as *Don Quixote* is a Spanish novel by Miguel de Cervantes, originally published in two parts, in 1605 and 1615 and considered a founding work of Western literature. It's often said to be the first modern novel. The novel has been labelled by many well-known authors as the ""best novel of all time"" and the ""best and most central work in world literature"". Don Quixote is also one of the most-translated books in the world and one of the best-selling novels of all time.",openlibrary,https://openlibrary.org/works/OL503666W
2789,"A Game of Thrones: The Graphic Novel, Vol. 2","A Game of Thrones is an epic fantasy novel by American author George R. R. Martin. It was published in August 1996 as the first entry in his series A Song of Ice and Fire. It was Martin's fourth novel and his return to writing prose fiction after a long period working in television. He had the initial idea in 1991 while writing science fiction; he wrote a hundred pages and submitted them to his agent, originally planning the novel as a trilogy.  
A Game of Thrones is narrated in third person, with each chapter alternating between eight narrators who sometimes provide unreliable accounts. In the Seven Kingdoms of Westeros, House Stark and House Lannister influence the political fate of the continent. In Westeros' far north, an illegitimate son of House Stark joins a group maintaining a giant wall of ice to protect Westeros from raiders and a group of mythical enemies. Across the sea in Essos, the last surviving members of Westeros' deposed royal house, House Targaryen, live in exile.
Following the novel's publication, several reviewers commended the novel's focus on political intrigue and historical influences. It won the 1997 Locus Award for Best Fantasy Novel and was nominated for...",wikipedia,https://en.wikipedia.org/wiki/A_Game_of_Thrones
2790,"A Game of Thrones: The Graphic Novel, Vol. 3","A Game of Thrones is an epic fantasy novel by American author George R. R. Martin. It was published in August 1996 as the first entry in his series A Song of Ice and Fire. It was Martin's fourth novel and his return to writing prose fiction after a long period working in television. He had the initial idea in 1991 while writing science fiction; he wrote a hundred pages and submitted them to his agent, originally planning the novel as a trilogy.  
A Game of Thrones is narrated in third person, with each chapter alternating between eight narrators who sometimes provide unreliable accounts. In the Seven Kingdoms of Westeros, House Stark and House Lannister influence the political fate of the continent. In Westeros' far north, an illegitimate son of House Stark joins a group maintaining a giant wall of ice to protect Westeros from raiders and a group of mythical enemies. Across the sea in Essos, the last surviving members of Westeros' deposed royal house, House Targaryen, live in exile.
Following the novel's publication, several reviewers commended the novel's focus on political intrigue and historical influences. It won the 1997 Locus Award for Best Fantasy Novel and was nominated for...",wikipedia,https://en.wikipedia.org/wiki/A_Game_of_Thrones
2791,"A Game of Thrones: The Graphic Novel, Vol. 4","A Game of Thrones is an epic fantasy novel by American author George R. R. Martin. It was published in August 1996 as the first entry in his series A Song of Ice and Fire. It was Martin's fourth novel and his return to writing prose fiction after a long period working in television. He had the initial idea in 1991 while writing science fiction; he wrote a hundred pages and submitted them to his agent, originally planning the novel as a trilogy.  
A Game of Thrones is narrated in third person, with each chapter alternating between eight narrators who sometimes provide unreliable accounts. In the Seven Kingdoms of Westeros, House Stark and House Lannister influence the political fate of the continent. In Westeros' far north, an illegitimate son of House Stark joins a group maintaining a giant wall of ice to protect Westeros from raiders and a group of mythical enemies. Across the sea in Essos, the last surviving members of Westeros' deposed royal house, House Targaryen, live in exile.
Following the novel's publication, several reviewers commended the novel's focus on political intrigue and historical influences. It won the 1997 Locus Award for Best Fantasy Novel and was nominated for...",wikipedia,https://en.wikipedia.org/wiki/A_Game_of_Thrones
2974,"Click, Vol. 1","Elateridae or click beetles (or ""typical click beetles"" to distinguish them from the related families Cerophytidae and Eucnemidae, which are also capable of clicking) are a family of beetles. Other names include elaters, snapping beetles, spring beetles or skipjacks. This family was defined by William Elford Leach (1790–1836) in 1815. They are a cosmopolitan beetle family characterized by the unusual click mechanism they possess. There are a few other families of Elateroidea in which a few members have the same mechanism, but most elaterid subfamilies can click. A spine on the prosternum can be snapped into a corresponding notch on the mesosternum, producing a violent ""click"" that can bounce the beetle into the air. The evolutionary purpose of this click is debated: hypotheses include that the clicking noise deters predators or is used for communication, or that the click may allow the beetle to ""pop"" out of the substrate in which it is pupating. It is unlikely that the click is used for avoiding predators as it does not carry the beetle very far (<50 cm), and in practice click beetles usually play dead or flee normally. There are about 9300 known species worldwide, and 965 valid species...",wikipedia,https://en.wikipedia.org/wiki/Click_beetle
