id,slug,bucket,newness,n_countries,n_reasons,n_ban_source_links,has_court_case,has_named_plaintiff,template_fingerprint,reasoning,title
18,the-color-purple,KEEP_NARRATIVE,0.942,3,6,63,0,0,,"rich signals: 6-reasons, 63-ban_source_links; newness=0.94",The Color Purple
19,beloved,KEEP_NARRATIVE,0.958,2,4,54,0,0,,"rich signals: 4-reasons, 54-ban_source_links; newness=0.96",Beloved
20,slaughterhouse-five,KEEP_NARRATIVE,1.000,1,4,47,0,0,,"rich signals: 4-reasons, 47-ban_source_links; newness=1.00",Slaughterhouse-Five
21,one-flew-over-the-cuckoos-nest,KEEP_NARRATIVE,1.000,1,6,4,0,1,,"rich signals: named-plaintiff, 6-reasons, 4-ban_source_links; newness=1.00",One Flew Over the Cuckoo's Nest
22,a-clockwork-orange,KEEP_NARRATIVE,1.000,1,5,31,0,0,,"rich signals: 5-reasons, 31-ban_source_links; newness=1.00",A Clockwork Orange
23,the-lord-of-the-flies,KEEP_NARRATIVE,0.867,2,5,7,0,0,,"rich signals: 5-reasons, 7-ban_source_links; newness=0.87",The Lord of the Flies
24,fahrenheit-451,TEMPLATE_CONFIRMED,1.000,1,6,2,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",Fahrenheit 451
25,i-know-why-the-caged-bird-sings,KEEP_NARRATIVE,1.000,1,4,50,0,0,,"rich signals: 4-reasons, 50-ban_source_links; newness=1.00",I Know Why the Caged Bird Sings
26,native-son,KEEP_NARRATIVE,1.000,1,6,28,0,0,,"rich signals: 6-reasons, 28-ban_source_links; newness=1.00",Native Son
27,the-diary-of-a-young-girl,TEMPLATE_CONFIRMED,0.970,3,3,4,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Diary of a Young Girl
28,the-hunger-games,TEMPLATE_CONFIRMED,1.000,1,3,2,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",The Hunger Games
29,the-perks-of-being-a-wallflower,KEEP_NARRATIVE,0.978,2,6,106,0,0,,"rich signals: 6-reasons, 106-ban_source_links; newness=0.98",The Perks of Being a Wallflower
30,speak,KEEP_NARRATIVE,1.000,1,4,54,0,0,,"rich signals: 4-reasons, 54-ban_source_links; newness=1.00",Speak
31,the-kite-runner,KEEP_NARRATIVE,0.979,2,4,87,0,0,,"rich signals: 4-reasons, 87-ban_source_links; newness=0.98",The Kite Runner
32,the-golden-compass,KEEP_NARRATIVE,0.990,1,1,1,0,1,,rich signals: named-plaintiff; newness=0.99,The Golden Compass
33,harry-potter-philosophers-stone,KEEP_NARRATIVE,1.000,1,1,1,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Harry Potter and the Philosopher's Stone
34,go-ask-alice,KEEP_NARRATIVE,0.987,1,3,22,0,0,,"rich signals: 3-reasons, 22-ban_source_links; newness=0.99",Go Ask Alice
35,the-outsiders,KEEP_NARRATIVE,0.959,1,4,2,0,0,,rich signals: 4-reasons; newness=0.96,The Outsiders
36,are-you-there-god-its-me-margaret,KEEP_NARRATIVE,1.000,1,3,3,0,0,,"rich signals: 3-reasons, 3-ban_source_links; newness=1.00","Are You There God? It's Me, Margaret"
37,forever-judy-blume,KEEP_NARRATIVE,1.000,1,2,3,0,0,,rich signals: 3-ban_source_links; newness=1.00,Forever
38,captain-underpants,KEEP_NARRATIVE,1.000,1,2,2,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Captain Underpants
39,the-witches,TEMPLATE_CONFIRMED,1.000,1,4,3,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",The Witches
40,james-and-the-giant-peach,KEEP_NARRATIVE,1.000,1,2,1,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,James and the Giant Peach
41,bridge-to-terabithia,KEEP_NARRATIVE,0.972,1,4,2,0,0,,rich signals: 4-reasons; newness=0.97,Bridge to Terabithia
42,flowers-for-algernon,KEEP_NARRATIVE,1.000,1,2,7,0,0,,rich signals: 7-ban_source_links; newness=1.00,Flowers for Algernon
43,the-house-on-mango-street,KEEP_NARRATIVE,0.957,1,4,6,0,0,,"rich signals: 4-reasons, 6-ban_source_links; newness=0.96",The House on Mango Street
44,catch-22,KEEP_NARRATIVE,1.000,1,3,6,0,0,,"rich signals: 3-reasons, 6-ban_source_links; newness=1.00",Catch-22
45,the-bell-jar,KEEP_NARRATIVE,1.000,1,4,2,0,0,,rich signals: 4-reasons; newness=1.00,The Bell Jar
46,in-cold-blood,KEEP_NARRATIVE,1.000,1,1,1,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,In Cold Blood
47,uncle-toms-cabin,TEMPLATE_CONFIRMED,1.000,1,2,1,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Uncle Tom's Cabin
48,a-separate-peace,KEEP_NARRATIVE,1.000,1,5,8,0,0,,"rich signals: 5-reasons, 8-ban_source_links; newness=1.00",A Separate Peace
49,their-eyes-were-watching-god,TEMPLATE_CONFIRMED,1.000,1,3,20,0,0,"conclusion: ""This case illustrates the paradox of censoring literature that crit","template conclusion: ""This case illustrates the paradox of censoring literature that critiqu…""",Their Eyes Were Watching God
50,things-fall-apart,KEEP_NARRATIVE,1.000,2,3,2,0,0,,rich signals: 3-reasons; newness=1.00,Things Fall Apart
51,lolita,KEEP_NARRATIVE,0.978,9,3,13,0,0,,"rich signals: 9-countries, 3-reasons, 13-ban_source_links; newness=0.98",Lolita
52,ulysses,KEEP_NARRATIVE,0.934,3,4,11,1,0,,"rich signals: court-case-string, 4-reasons, 11-ban_source_links; newness=0.93",Ulysses
53,tropic-of-cancer,KEEP_NARRATIVE,1.000,9,3,10,1,0,,"rich signals: court-case-string, 9-countries, 3-reasons, 10-ban_source_links; newness=1.00",Tropic of Cancer
54,naked-lunch,KEEP_NARRATIVE,1.000,4,4,7,0,0,,"rich signals: 4-reasons, 7-ban_source_links; newness=1.00",Naked Lunch
55,the-well-of-loneliness,TEMPLATE_CONFIRMED,1.000,2,3,2,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",The Well of Loneliness
56,doctor-zhivago,KEEP_NARRATIVE,0.921,2,2,2,0,0,,high newness (0.92) without rich-case signals — likely AI prose; flag for human review,Doctor Zhivago
57,the-master-and-margarita,KEEP_NARRATIVE,0.922,1,2,1,0,0,,high newness (0.92) without rich-case signals — likely AI prose; flag for human review,The Master and Margarita
58,the-trial,KEEP_NARRATIVE,0.973,3,1,2,0,0,,high newness (0.97) without rich-case signals — likely AI prose; flag for human review,The Trial
59,madame-bovary,KEEP_NARRATIVE,0.986,2,4,3,0,0,,"rich signals: 4-reasons, 3-ban_source_links; newness=0.99",Madame Bovary
60,american-psycho,KEEP_NARRATIVE,1.000,4,5,13,0,0,,"rich signals: 5-reasons, 13-ban_source_links; newness=1.00",American Psycho
61,giovannis-room,TEMPLATE_CONFIRMED,1.000,3,3,4,0,0,"conclusion: ""This case is part of a global pattern in which LGBTQ+ representatio","template conclusion: ""This case is part of a global pattern in which LGBTQ+ representation i…""",Giovanni's Room
62,noli-me-tangere,TEMPLATE_CONFIRMED,1.000,1,2,1,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Noli Me Tángere
63,the-communist-manifesto,TEMPLATE_CONFIRMED,1.000,4,1,4,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Communist Manifesto
64,all-quiet-on-the-western-front,KEEP_NARRATIVE,0.884,5,1,3,0,0,,"rich signals: 5-countries, 3-ban_source_links; newness=0.88",All Quiet on the Western Front
65,for-whom-the-bell-tolls,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",For Whom the Bell Tolls
66,portnoys-complaint,KEEP_NARRATIVE,0.962,0,0,0,0,0,,high newness (0.96) without rich-case signals — likely AI prose; flag for human review,Portnoy's Complaint
67,the-autobiography-of-malcolm-x,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Autobiography of Malcolm X
68,candide,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",Candide
69,the-awakening,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Awakening
70,black-boy,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Black Boy
71,the-great-gatsby,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Great Gatsby
72,the-tin-drum,KEEP_NARRATIVE,1.000,0,0,0,0,1,,rich signals: named-plaintiff; newness=1.00,The Tin Drum
73,les-fleurs-du-mal,TEMPLATE_CONFIRMED,0.944,0,0,0,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",Les Fleurs du Mal
74,the-picture-of-dorian-gray,KEEP_NARRATIVE,0.988,0,0,0,0,0,,high newness (0.99) without rich-case signals — likely AI prose; flag for human review,The Picture of Dorian Gray
75,on-the-road,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,On the Road
76,howl-and-other-poems,KEEP_NARRATIVE,0.923,0,0,0,0,1,,rich signals: named-plaintiff; newness=0.92,Howl and Other Poems
77,the-sound-and-the-fury,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates the paradox of censoring literature that crit","template conclusion: ""This case illustrates the paradox of censoring literature that critiqu…""",The Sound and the Fury
78,song-of-solomon,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Song of Solomon
79,go-tell-it-on-the-mountain,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Go Tell It on the Mountain
80,the-chocolate-war,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Chocolate War
82,the-absolutely-true-diary-of-a-part-time-indian,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Absolutely True Diary of a Part-Time Indian
83,the-giver,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Giver
84,a-wrinkle-in-time,KEEP_NARRATIVE,0.989,0,0,0,0,0,,high newness (0.99) without rich-case signals — likely AI prose; flag for human review,A Wrinkle in Time
85,the-gulag-archipelago,KEEP_NARRATIVE,0.987,0,0,0,0,0,,high newness (0.99) without rich-case signals — likely AI prose; flag for human review,The Gulag Archipelago
86,one-day-in-the-life-of-ivan-denisovich,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,One Day in the Life of Ivan Denisovich
87,the-unbearable-lightness-of-being,TEMPLATE_CONFIRMED,0.982,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Unbearable Lightness of Being
88,darkness-at-noon,KEEP_NARRATIVE,0.934,0,0,0,0,0,,high newness (0.93) without rich-case signals — likely AI prose; flag for human review,Darkness at Noon
89,nana-zola,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Nana
90,the-second-sex,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Second Sex
91,being-and-nothingness,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",Being and Nothingness
92,the-stranger,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This illustrates how catch-all moral provisions have been used to s","template conclusion: ""This illustrates how catch-all moral provisions have been used to supp…""",The Stranger
93,the-decameron,KEEP_NARRATIVE,0.985,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,The Decameron
94,one-hundred-years-of-solitude,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,One Hundred Years of Solitude
95,canto-general,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Canto General
96,the-house-of-the-spirits,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The House of the Spirits
97,the-war-of-the-end-of-the-world,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The War of the End of the World
98,burgers-daughter,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Burger's Daughter
99,cry-the-beloved-country,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""","Cry, the Beloved Country"
100,midnights-children,KEEP_NARRATIVE,0.982,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,Midnight's Children
101,shame-taslima-nasrin,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Shame
102,snow-orhan-pamuk,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Snow
103,children-of-the-alley,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how religious authority and the state have hi","template conclusion: ""This case illustrates how religious authority and the state have histo…""",Children of the Alley
104,to-live-yu-hua,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,To Live
105,red-sorghum,TEMPLATE_CONFIRMED,0.981,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Red Sorghum
106,the-god-of-small-things,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The God of Small Things
107,a-passage-to-india,KEEP_NARRATIVE,0.977,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,A Passage to India
108,tess-of-the-durbervilles,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Tess of the d'Urbervilles
109,the-book-thief,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Book Thief
110,whale-talk,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates the paradox of censoring literature that crit","template conclusion: ""This case illustrates the paradox of censoring literature that critiqu…""",Whale Talk
111,monster-walter-dean-myers,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Monster
112,the-alchemist,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Alchemist
113,dubliners,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Dubliners
114,tobacco-road,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Tobacco Road
115,an-american-tragedy,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,An American Tragedy
116,the-jungle,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Jungle
117,myra-breckinridge,KEEP_NARRATIVE,0.971,0,0,0,0,0,,high newness (0.97) without rich-case signals — likely AI prose; flag for human review,Myra Breckinridge
118,carrie-stephen-king,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Carrie
119,gender-queer,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Gender Queer: A Memoir
120,looking-for-alaska,KEEP_NARRATIVE,0.991,0,0,0,0,0,,high newness (0.99) without rich-case signals — likely AI prose; flag for human review,Looking for Alaska
121,thirteen-reasons-why,KEEP_NARRATIVE,0.978,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,Thirteen Reasons Why
122,maus,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Maus
123,all-boys-arent-blue,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,All Boys Aren't Blue
124,the-hate-u-give,KEEP_NARRATIVE,0.982,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,The Hate U Give
125,persepolis,KEEP_NARRATIVE,0.861,0,0,0,0,0,,high newness (0.86) without rich-case signals — likely AI prose; flag for human review,Persepolis
126,eleanor-and-park,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Eleanor & Park
128,the-things-they-carried,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Things They Carried
129,fight-club,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Fight Club
130,fun-home,KEEP_NARRATIVE,0.990,0,0,0,0,0,,high newness (0.99) without rich-case signals — likely AI prose; flag for human review,Fun Home
131,enders-game,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Ender's Game
132,sold-patricia-mccormick,KEEP_NARRATIVE,1.000,0,0,0,0,1,,rich signals: named-plaintiff; newness=1.00,Sold
133,crank,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Crank
134,a-court-of-thorns-and-roses,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,A Court of Thorns and Roses
135,nineteen-minutes,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Nineteen Minutes
136,stamped-racism-antiracism-and-you,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""","Stamped: Racism, Antiracism, and You"
137,scary-stories-to-tell-in-the-dark,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Scary Stories to Tell in the Dark
138,the-glass-castle,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Glass Castle
139,nickel-and-dimed,TEMPLATE_CONFIRMED,0.975,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Nickel and Dimed
140,the-sun-also-rises,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Sun Also Rises
141,a-farewell-to-arms,KEEP_NARRATIVE,0.937,0,0,0,0,0,,high newness (0.94) without rich-case signals — likely AI prose; flag for human review,A Farewell to Arms
142,kaffir-boy,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Kaffir Boy
143,the-naked-and-the-dead,KEEP_NARRATIVE,0.952,0,0,0,0,0,,high newness (0.95) without rich-case signals — likely AI prose; flag for human review,The Naked and the Dead
144,sophies-choice,TEMPLATE_CONFIRMED,0.957,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Sophie's Choice
145,wild-swans,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Wild Swans
146,soul-mountain,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Soul Mountain
147,tombstone-yang-jisheng,TEMPLATE_CONFIRMED,0.938,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Tombstone
148,life-and-death-in-shanghai,TEMPLATE_CONFIRMED,0.917,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Life and Death in Shanghai
149,alices-adventures-in-wonderland,KEEP_NARRATIVE,0.986,0,0,0,0,0,,high newness (0.99) without rich-case signals — likely AI prose; flag for human review,Alice's Adventures in Wonderland
150,the-story-of-ferdinand,TEMPLATE_CONFIRMED,0.980,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Story of Ferdinand
151,lysistrata,TEMPLATE_CONFIRMED,0.941,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Lysistrata
152,el-senor-presidente,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,El Señor Presidente
153,the-country-girls,KEEP_NARRATIVE,0.968,0,0,0,0,1,,rich signals: named-plaintiff; newness=0.97,The Country Girls
154,borstal-boy,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Borstal Boy
155,the-dark-mcgahern,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,The Dark
156,marriage-and-morals,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Marriage and Morals
157,how-to-read-donald-duck,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",How to Read Donald Duck
158,a-feast-for-the-seaweeds,KEEP_NARRATIVE,0.974,0,0,0,0,0,,high newness (0.97) without rich-case signals — likely AI prose; flag for human review,A Feast for the Seaweeds
159,the-iron-heel,TEMPLATE_CONFIRMED,0.979,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Iron Heel
160,23-years,KEEP_NARRATIVE,0.987,0,0,0,0,0,,high newness (0.99) without rich-case signals — likely AI prose; flag for human review,23 Years: A Study of the Prophetic Career of Mohammad
161,hind-swaraj,TEMPLATE_CONFIRMED,0.957,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Hind Swaraj
162,an-area-of-darkness,KEEP_NARRATIVE,0.980,0,0,0,0,0,,high newness (0.98) without rich-case signals — likely AI prose; flag for human review,An Area of Darkness
163,shivaji-hindu-king-in-islamic-india,TEMPLATE_CONFIRMED,0.964,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Shivaji: Hindu King in Islamic India
164,shanghai-baby,KEEP_NARRATIVE,1.000,0,0,0,0,0,,high newness (1.00) without rich-case signals — likely AI prose; flag for human review,Shanghai Baby
165,mao-the-unknown-story,TEMPLATE_CONFIRMED,0.914,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Mao: The Unknown Story
166,the-private-life-of-chairman-mao,TEMPLATE_CONFIRMED,0.919,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",The Private Life of Chairman Mao
167,prisoner-of-the-state,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Prisoner of the State
168,dream-of-ding-village,TEMPLATE_CONFIRMED,1.000,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Dream of Ding Village
169,capital-and-ideology,TEMPLATE_CONFIRMED,0.971,0,0,0,0,0,"conclusion: ""This case illustrates how governments across political systems have","template conclusion: ""This case illustrates how governments across political systems have us…""",Capital and Ideology
